,Date,User,Tweet
102,2022-08-10 04:46:45+00:00,jesijacinda,Vaksinasi Booster Demi Cegah Lonjakan Kasus Covid-19 https://t.co/sBLuUjAJUh
103,2022-08-10 04:46:43+00:00,jesijacinda,Vaksinasi Booster Demi Cegah Lonjakan Kasus Covid-19 https://t.co/NNSYOOh6uy
104,2022-08-10 04:39:12+00:00,Joko_Sembung75,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
105,2022-08-10 04:34:28+00:00,PolisiKandat,RT @PolsekKandat: Sinergi Bhabinkamtibmas dan Babinsa Desa Cendono Kec. Kandat Kab. Kediri saat melaksanakan pengamanan dan monitoring pela…
106,2022-08-10 04:33:16+00:00,kodim0313kpr,"Babinsa Koramil 09/Langgam Bantu  Demi Pelaksanaan Vaksin Covid-19 Di Puskesmas

Pangkalan Kerinci - Babinsa Koramil 09/Langgam Kodim 0313/KPR,Serda Samsul Firmansyah melaksanakan pendampingan dan monitoring serta bantu tim medis melakukan pelayanan pelaksanaan Vaksinasi https://t.co/EsRKW0RdHX"
107,2022-08-10 04:30:47+00:00,Ins_T4nce,"Kasus Positif Covid-19 Anak Meningkat, Epidemiolog Ingatkan Pentingnya Vaksinasi dan Prokes
https://t.co/co7iOP0OYw.
NKRI Bangsa Kuat"
108,2022-08-10 04:30:46+00:00,TravisNoah4,"RT @AlshaibaShihab: Yg belum Vaksinasi, segera lengkapi vaksinasi mu. Krn Vaksinasi covid-19 berguna utk meningkatkan kekebalan tubuh shg d…"
109,2022-08-10 04:30:46+00:00,Ins_T4nce,"Sri Sultan HB X Minta Masyarakat Jalani Vaksinasi Booster untuk Tekan Penularan Covid-19
https://t.co/lP10ARK2PL.
NKRI Bangsa Kuat"
110,2022-08-10 04:30:46+00:00,Ins_T4nce,"Vaksinasi Booster Demi Cegah Lonjakan Kasus Covid-19
https://t.co/3pqojDh1DS
NKRI Bangsa Kuat"
111,2022-08-10 04:29:44+00:00,PWestina,"RT @AlshaibaShihab: Yg belum Vaksinasi, segera lengkapi vaksinasi mu. Krn Vaksinasi covid-19 berguna utk meningkatkan kekebalan tubuh shg d…"
